Txid,Block# ,Date(GMT),Sender,Recipient,Amount,Token,Fee,Remark
0xbebf682ef9b8aa3158fadafe561a98f011d329a8c9da031659ead405ae44787f,19477015,2024-09-02 17:31:40,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,440,VVET,0,received 440 VVET
0xa96c998776575e0d85e2b2f7c99de8ca8011f894b24861ee394587a38ea0b476,19477073,2024-09-02 17:41:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-100,VVET,0,sent 100 VVET
0x0534ab9151ee175154f4e89a5fb476ebdbf19beef4ee70e4c4aa6c1d69d198ee,19477079,2024-09-02 17:42:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-100,VVET,0,sent 100 VVET
0x7680f7ba38b96889473cc5842f59ff45f61fb5c99ea49911e761c236cfba3ba8,19477083,2024-09-02 17:43:00,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,1000,VVET,0,received 1000 VVET
0xad247c606be0f9c242f16a2e9de6b66c335dcc3dc482aed6ded1e097482d4497,19477115,2024-09-02 17:48:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-100,VVET,0,sent 100 VVET
0xe6cb3cca41902607c85155768287f461227ba48a8b2460c1b30b1f314fbe5f05,19477120,2024-09-02 17:49:10,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-100,VVET,0,sent 100 VVET
0x040cde6647ec4b08486bcb23f3b3e76d0b95639e600cca7d66ca847482bcacbf,19477125,2024-09-02 17:50:00,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-100,VVET,0,sent 100 VVET
0x49c1a97418c6e3ffee5b0c54b3710a62d03a6723d396e6dd01a83b3f0ceaae40,19477192,2024-09-02 18:01:10,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-595.63326872530334763,VVET,0,sent 595.63326872530334763 VVET
0x1944dad4bc2840fed2a1637c813c5d35d921ec1545c9474a2fedcb1825ad81a4,19477206,2024-09-02 18:03:30,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,500,VVET,0,received 500 VVET
0xfde75eb87838156f66c0d76d84353d2974f92f2814cb018077d669ea18635e3c,19477352,2024-09-02 18:27:50,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-1016.811130566964421793,VVET,0,sent 1016.811130566964421793 VVET
0x40a51d1b2081661023ade512d161167285644f13a999cfd20b6fd0b0640aba09,19477382,2024-09-02 18:32:50,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,500,VVET,0,received 500 VVET
0xa9b939ce0bf7c8431ca8150fe9f86315cbfdbc4c09659dbd55771d6861839891,19477387,2024-09-02 18:33:40,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,200,VVET,0,received 200 VVET
0x989d1cb714e0f552563c81b41d8b0f912293bdabada64fe75b75024b1ca421b8,19477709,2024-09-02 19:27:20,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-31.934454761255605814,VVET,0,sent 31.934454761255605814 VVET
0x76fd6602636ae4ab010ace4e6c88b4e57f146eb51a7c88ad145cc132d3b663ec,19477746,2024-09-02 19:33:30,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-3634.578792449148977249,VVET,0,sent 3634.578792449148977249 VVET
0x1e66d1343ce200dd535a0996de1ac67b2c699c3e2eab3396b4ef5fe4e3be4e13,19477844,2024-09-02 19:49:50,0xc6de3b8e4a9bf4a6756e60f5cb6705cb7d3c1649,0xf9a1bc92e0eeee598b9fdb45397107b1f05f6cc1,-384.907138130846780253,VVET,0,sent 384.907138130846780253 VVET
